Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
misbah 1 4848
ala 1 4852
bagi 5 4856
brigadir 3 4876
fauzi 1 4888
tusuk 1 4892
punggung 1 4896
belah 3 4900
rs 1 4912
ripandi 1 4916
asal 5 4920
babus 1 4940
salam 1 4944
mapolsek 2 4948
dusun 1 4956
bungkek 1 4960
siti 1 4964
terjun 1 4968
empat 3 4972
lawan 4 4984
kala 1 5000
personel 1 5004
pilih 1 5008
mundur 1 5012
bantu 4 5016
selang 1 5032
lama 6 5036
pasu 1 5060
tiba 2 5064
perkara 2 5072
memang 4 5080
pegang 2 5096
bilah 1 5104
upaya 4 5108
dekat 2 5124
tembak 5 5132
ingat 1 5152
udara 1 5156
tetap 3 5160
indah 1 5172
perintah 3 5176
letak 1 5188
senjata 5 5192
abai 1 5212
tutur 2 5216
lumpuh 2 5224
timah 1 5232
panas 2 5236
langgar 2 5244
tahan 3 5252
sehat 2 5264
kelahi 1 5272
antara 3 5276
si 1 5288
yang 3 5292
telah 5 5304
jatuh 3 5324
maaf 1 5336
tolak 1 5340
tetangga 1 5344
hingga 7 5348
tewas 2 5376
labuhanbatu 1 5384
utara 4 5388
nyawa 2 5404
erwin 1 5412
syahputra 1 5416
sumut 1 5420
andika 1 5424
sopiyan 1 5428
istri 1 5432
suarwati 1 5436
kritis 1 5440
alam 2 5444
kabid 3 5452
humas 3 5464
rina 1 5476
sari 1 5480
ginting 1 5484
motif 2 5488
aniaya 1 5496
hati 1 5500
terima 2 5504
intip 1 5512
kasubag 1 5516
akp 2 5520
viktor 1 5528
sibarani 1 5532
kebun 1 5536
pondok 1 5540
adipati 1 5544
divisi 1 5548
belongkot 1 5552
marbau 1 5556
rabu 3 5560
baru 6 5572
tunggu 2 5596
sendiri 2 5604
entah 1 5612
apa 1 5616
bicara 2 5620
tak 3 5628
acung 2 5640
parang 1 5648
sungkur 1 5652
elak 1 5656
lagi 1 5660
gorok 1 5664
leher 1 5668
layang 1 5672
perempuan 1 5676
rawat 1 5680
saudara 1 5684
sementara 1 5688
dahi 1 5692
tinggal 5 5696
dunia 3 5716
sahrijal 1 5728
keji 1 5732
kantong 1 5736
identitas 2 5740
jara 1 5748
lidi 1 5752
keluarga 2 5756
aek 1 5764
natas 1 5768
tuju 1 5772
sana 1 5776
periksa 4 5780
pria 4 5796
otak 1 5812
pasien 1 5816
jiwa 1 5820
indiana 1 5824
bobol 2 5828
museum 1 5836
manusia 1 5840
awet 1 5844
jaring 2 5848
jual 3 5856
wenang 1 5868
david 1 5872
charles 1 5876
indianapolis 1 5880
dakwa 1 5884
tampung 2 5888
ampo 4 5896
adil 1 5912
marion 1 5916
county 1 5920
hakim 1 5924
amy 1 5928
barbar 1 5932
masa 2 5936
coba 4 5944
juru 1 5960
jaksa 1 5964
anthony 1 5968
deer 1 5972
beberapa 4 5976
sejarah 1 5992
botol 1 5996
isi 3 6000
kantor 3 6012
adalah 1 6024
bekas 2 6028
sandang 1 6036
ganggu 1 6040
ubah 1 6044
ruang 1 6048
otopsi 1 6052
anatomi 1 6056
tampil 1 6060
agam 2 6064
spesimen 1 6072
koleksi 1 6076
ampu 1 6080
komunitas 1 6084
patologi 1 6088
desember 2 6092
san 1 6100
ego 1 6104
beli 2 6108
senyawa 1 6116
nila 2 6120
dolar 1 6128
ebay 1 6132
memberitahu 1 6136
dokumen 3 6140
temu 2 6152
cocok 1 6160
bel 1 6164
teliti 1 6168
ia 3 6172
maya 1 6184
mampu 1 6188
identifikasi 2 6192
lembar 1 6200
kertas 1 6204
sidik 1 6208
jari 1 6212
darah 1 6216
jauh 2 6220
mesin 1 6228
ekg 1 6232
timbang 1 6236
bayi 1 6240
barangbarang 1 6244
dari 2 6248
oleh 2 6256
ijazah 1 6264
sekolah 2 6268
sertifikat 1 6276
ged 1 6280
janji 1 6284
motor 6 6288
burung 1 6312
lokalisasi 1 6316
semarang 2 6320
sepeda 4 6328
garagara 1 6344
ekor 1 6348
gambilangu 1 6352
wilayah 4 6356
batas 1 6372
kota 4 6376
kabupaten 5 6392
kendal 1 6412
tugu 1 6416
ama 1 6420
maria 1 6424
senin 3 6428
solichin 1 6440
bebas 1 6444
agustus 1 6448
bagai 1 6452
tindak 6 6456
jahat 12 6480
ungkap 1 6528
karaoke 1 6532
satai 1 6536
waktu 1 6540
sekoci 1 6544
bongkar 1 6548
untuk 2 6552
proses 2 6560
seluler 1 6568
duga 7 6572
buru 3 6600
rekan 2 6612
koordinasi 1 6620
gerebek 2 6624
sarang 1 6632
siber 1 6636
cina 1 6640
jaya 3 6644
sindikat 3 6656
cyber 1 6668
tiongkok 1 6672
toko 2 6676
blok 1 6684
b 1 6688
nomor 3 6692
mangga 1 6704
square 1 6708
china 1 6712
keluar 3 6716
ruko 1 6728
iii 1 6732
subdirektorat 2 6736
keras 4 6744
direktorat 1 6760
reserse 3 6764
dhany 1 6776
aryanda 1 6780
awas 2 6784
sekitar 2 6792
amat 2 6800
giat 1 6808
siang 4 6812
alat 2 6828
komunikasi 1 6836
lengkap 2 6840
pancar 1 6848
signal 1 6852
pesawat 1 6856
tipu 3 6860
modus 2 6872
tegak 2 6880
operasi 1 6888
tujuh 1 6892
kelamin 1 6896
wanita 1 6900
sita 3 6904
handy 1 6916
talky 1 6920
modem 1 6924
komputer 1 6928
jinjing 1 6932
laptop 1 6936
imigrasi 1 6940
api 3 6944
rampas 1 6956
fortuner 1 6960
bernopol 1 6964
bqh 1 6968
kemang 1 6972
raya 3 6976
selatan 2 6988
rikwanto 1 6996
ampas 1 7000
lancer 1 7004
uang 3 7008
rp 3 7020
juta 2 7032
minggu 2 7040
tambah 2 7048
mahendra 1 7056
kebayoran 1 7060
todong 1 7064
kenal 3 7068
fn 1 7080
nyala 1 7084
kendara 5 7088
taksi 1 7108
toyota 2 7112
pt 1 7120
kencana 1 7124
nusantara 1 7128
bahari 2 7132
tas 4 7140
merek 1 7156
prada 1 7160
suratsurat 1 7164
harga 1 7168
bogor 2 7172
reskrim 1 7180
sektor 1 7184
klapanunggal 1 7188
briptu 1 7192
nurul 1 7196
affandi 1 7200
peristiwa 2 7204
kronologis 1 7212
singkat 1 7216
lintas 1 7220
tolong 1 7224
kira 1 7228
tibatiba 1 7232
tembang 1 7236
peluru 2 7240
kena 1 7248
olah 1 7252
kumpul 1 7256
saksisaksi 2 7260
didik 2 7268
purwanto 1 7276
pesan 1 7280
saksi 1 7284
simpul 1 7288
ciriciri 1 7292
selongsong 1 7296
lukis 1 7300
alice 1 7304
springs 1 7308
hadap 1 7312
tuduh 1 7316
jika 1 7320
baris 1 7324
paling 2 7328
bodoh 1 7336
northern 1 7340
territory 1 7344
nt 1 7348
galeri 1 7352
seni 1 7356
karya 1 7360
catat 2 7364
mulai 2 7372
rusa 1 7380
properti 1 7384
pagi 1 7388
selasa 3 7392
pasuk 1 7404
gulung 1 7408
sersan 1 7412
detektif 1 7416
peter 1 7420
malley 1 7424
ironis 1 7428
yubu 1 7432
napa 1 7436
insiden 1 7440
kawasan 2 7444
picu 1 7452
petas 1 7456
bokong 1 7460
